	SRR33467998	SRR33467999	SRR33468000	SRR33468001	SRR33468002	SRR33468003	SRR33468004	SRR33468005	SRR33468006
ENSG00000085998	57.192992	55.1299214937196	50.88173612394	58.753503009082	61.96643	52.903666049	61.713085743989	55.0121862396702	60.83536684683
ENSG00000085999	8.436101404	8.316556	18.45673	10.749358	9.969729	9.686898	9.389326125782	16.84071	8.393357237215
ENSG00000086015	27.69475	23.937671	22.881542	19.025374	19.60515	25.16677	27.352138	19.459881	17.821615
ENSG00000086061	135.134	134.64305	145.3241	150.93696	145.08	130.90063	137.288	142.86	135.633
ENSG00000086062	74.23312	82.42315	74.76132	70.59168	66.46501	62.54489	70.18232	67.31803	63.1276
ENSG00000086065	39.83653	47.702008	44.08783	43.78293	40.29246	40.36898	38.25663	40.2712	42.207484
ENSG00000086102	15.401618	17.641267	16.757109	16.22745	17.44475	16.226722	14.248438	14.670663	16.412927
ENSG00000086159	0	0	0	0.460461	0	0	0	0	0
ENSG00000086189	32.996234	38.043465	37.64539684322	34.339809	41.5537950378464	29.6303617	41.57847	35.3743885	38.2015243
ENSG00000086200	18.593855	13.17431	18.0862704	15.9212345	19.46085	15.68454	13.19113	13.46426824179	12.28973
ENSG00000086205	0.187086	0.161723	0	0.275591	0.254238	0.678828	0.152611	0.663078	0
ENSG00000086232	113.59105	102.284588	107.328947	96.16531	102.016735	110.975019	104.58744	120.923026	107.01226
ENSG00000086288	0	0	0	0	0	0	0	0	0
ENSG00000086289	40.34803	35.68044	38.37584	33.136	38.88251	40.23458	47.9422	41.065853	38.25946
ENSG00000086300	1.19827	1.6071683463097	1.0284593	1.565613	1.5873784333955	1.981802	2.2014	1.129946	1.72261100241206
ENSG00000086475	62.90165	71.3588	62.057935	54.30881	70.297111	65.494633	61.618558	64.444895	71.91575
ENSG00000086504	103.249417	95.635399	104.786300805595	112.373298	114.69264236	109.89991	105.80809120893	119.533088	113.307894
ENSG00000086506	1.25654	4.8248	9.04114	2.08626	7.29932	4.05732	5.65148	1.02254	6.67556
ENSG00000086544	13.90339	15.58414	14.967378	12.4356	13.3599	13.2855	15.0189	14.96367	16.62837
ENSG00000086548	0	0	0.963716	0.892577	0	0	0	0	0
ENSG00000086570	0.139428	0.0562826	0.0193874	0.0365914	0.0593708	0.0187165	0.06422058	0	0
